iter	Passed	Remaining
0	0	143
1	1	123
2	1	107
3	1	96
4	2	88
5	2	83
6	2	80
7	3	77
8	3	75
9	3	75
10	4	74
11	4	73
12	4	71
13	5	71
14	5	70
15	6	70
16	6	69
17	6	69
18	7	68
19	7	67
20	8	68
21	8	68
22	8	67
23	9	67
24	9	67
25	9	66
26	10	66
27	10	66
28	11	66
29	11	65
30	11	65
31	12	64
32	12	63
33	12	62
34	13	61
35	13	61
36	13	60
37	14	60
38	14	59
39	14	59
40	15	60
41	15	60
42	16	60
43	17	60
44	17	60
45	17	59
46	18	59
47	18	59
48	19	58
49	19	58
50	19	57
51	20	57
52	20	56
53	20	56
54	21	55
55	21	55
56	21	54
57	22	54
58	22	53
59	22	53
60	23	52
61	23	52
62	24	52
63	24	52
64	24	51
65	25	51
66	25	51
67	26	50
68	26	50
69	26	50
70	27	49
71	27	49
72	27	48
73	28	48
74	28	47
75	29	47
76	29	47
77	29	46
78	30	46
79	30	45
80	30	45
81	31	45
82	31	44
83	32	44
84	32	44
85	33	43
86	33	43
87	33	42
88	34	42
89	34	42
90	34	41
91	35	41
92	35	40
93	35	40
94	36	40
95	36	39
96	37	39
97	37	38
98	37	38
99	38	38
100	38	37
101	38	37
102	39	37
103	39	36
104	39	36
105	40	35
106	40	35
107	41	35
108	41	34
109	41	34
110	42	33
111	42	33
112	42	33
113	43	32
114	43	32
115	43	31
116	44	31
117	44	30
118	44	30
119	45	30
120	45	29
121	45	29
122	46	28
123	46	28
124	46	28
125	47	27
126	47	27
127	48	27
128	48	26
129	48	26
130	49	25
131	49	25
132	49	25
133	50	24
134	50	24
135	50	23
136	51	23
137	51	23
138	51	22
139	52	22
140	52	21
141	52	21
142	52	21
143	53	20
144	53	20
145	53	19
146	54	19
147	54	19
148	54	18
149	55	18
150	55	18
151	55	17
152	56	17
153	56	16
154	57	16
155	57	16
156	57	15
157	58	15
158	58	15
159	59	14
160	59	14
161	59	14
162	60	13
163	60	13
164	60	12
165	61	12
166	61	12
167	61	11
168	62	11
169	62	11
170	63	10
171	63	10
172	64	10
173	64	9
174	64	9
175	65	8
176	65	8
177	65	8
178	66	7
179	66	7
180	66	7
181	67	6
182	67	6
183	67	5
184	68	5
185	68	5
186	68	4
187	69	4
188	69	4
189	69	3
190	70	3
191	70	2
192	70	2
193	71	2
194	72	1
195	72	1
196	72	1
197	73	0
198	73	0
199	74	0
